Twitter Source Name,TwitterID
The Independent,@Independent
The Economist,@TheEconomist
Reuters,@Reuters
Forbes,@Forbes
Financial Times,@FT
Bloomberg News,@business
The Wall Street Journal,@WSJ
The Real News,@TheRealNews
The Independent Media Center,@indymedia
AlterNet,@AlterNet
BBC,@BBC
NPR,@NPR
PBS,@PBS
ABC News,@ABC
CBS News,@CBSNews
NBC News,@NBCNews
CNN,@CNN
USA Today,@USATODAY
Google News,@googlenews
